StringID	Type	x	y	demand	pickup_demand	delivery_demand	ReadyTime	DueDate	ServiceTime
S0	f	35.0	35.0	0.0	0	0	0.0	1000.0	0.0
S1	f	61.0	37.0	0.0	0	0	0.0	1000.0	0.0
S2	f	74.0	39.0	0.0	0	0	0.0	1000.0	0.0
S3	f	47.0	57.0	0.0	0	0	0.0	1000.0	0.0
S4	f	57.0	65.0	0.0	0	0	0.0	1000.0	0.0
S5	f	29.0	59.0	0.0	0	0	0.0	1000.0	0.0
S6	f	34.0	71.0	0.0	0	0	0.0	1000.0	0.0
S7	f	22.0	58.0	0.0	0	0	0.0	1000.0	0.0
S8	f	7.0	61.0	0.0	0	0	0.0	1000.0	0.0
S9	f	18.0	41.0	0.0	0	0	0.0	1000.0	0.0
S10	f	5.0	39.0	0.0	0	0	0.0	1000.0	0.0
S11	f	14.0	20.0	0.0	0	0	0.0	1000.0	0.0
S12	f	0.0	26.0	0.0	0	0	0.0	1000.0	0.0
S13	f	24.0	25.0	0.0	0	0	0.0	1000.0	0.0
S14	f	26.0	6.0	0.0	0	0	0.0	1000.0	0.0
S15	f	34.0	20.0	0.0	0	0	0.0	1000.0	0.0
S16	f	41.0	5.0	0.0	0	0	0.0	1000.0	0.0
S17	f	50.0	9.0	0.0	0	0	0.0	1000.0	0.0
S18	f	61.0	14.0	0.0	0	0	0.0	1000.0	0.0
S19	f	62.0	21.0	0.0	0	0	0.0	1000.0	0.0
S20	f	74.0	30.0	0.0	0	0	0.0	1000.0	0.0
C1	c	41.0	49.0	10.0	2	8	16.0	229.0	10.0
C2	c	35.0	17.0	7.0	4	3	18.0	481.0	10.0
C3	c	55.0	45.0	13.0	3	10	266.0	967.0	10.0
C4	c	55.0	20.0	19.0	13	6	701.0	883.0	10.0
C5	c	15.0	30.0	26.0	13	13	21.0	535.0	10.0
C6	c	25.0	30.0	3.0	1	2	391.0	873.0	10.0
C7	c	20.0	50.0	5.0	3	2	22.0	210.0	10.0
C8	c	10.0	43.0	9.0	7	2	27.0	395.0	10.0
C9	c	55.0	60.0	16.0	2	14	409.0	849.0	10.0
C10	c	30.0	60.0	16.0	8	8	489.0	787.0	10.0
C11	c	20.0	65.0	12.0	9	3	584.0	938.0	10.0
C12	c	50.0	35.0	19.0	6	13	769.0	975.0	10.0
C13	c	30.0	25.0	23.0	4	19	12.0	366.0	10.0
C14	c	15.0	10.0	20.0	7	13	42.0	436.0	10.0
C15	c	30.0	5.0	8.0	7	1	697.0	959.0	10.0
C16	c	10.0	20.0	19.0	10	9	385.0	807.0	10.0
C17	c	5.0	30.0	2.0	2	0	659.0	945.0	10.0
C18	c	20.0	40.0	12.0	6	6	301.0	615.0	10.0
C19	c	15.0	60.0	17.0	13	4	103.0	493.0	10.0
C20	c	45.0	65.0	9.0	3	6	609.0	839.0	10.0
C21	c	45.0	20.0	11.0	7	4	19.0	473.0	10.0
C22	c	45.0	10.0	18.0	14	4	607.0	963.0	10.0
C23	c	55.0	5.0	29.0	27	2	37.0	625.0	10.0
C24	c	65.0	35.0	3.0	2	1	646.0	960.0	10.0
C25	c	65.0	20.0	6.0	5	1	34.0	358.0	10.0
C26	c	45.0	30.0	17.0	6	11	19.0	367.0	10.0
C27	c	35.0	40.0	16.0	2	14	97.0	679.0	10.0
C28	c	41.0	37.0	16.0	2	14	215.0	637.0	10.0
C29	c	64.0	42.0	9.0	4	5	639.0	960.0	10.0
C30	c	40.0	60.0	21.0	7	14	422.0	726.0	10.0
C31	c	31.0	52.0	27.0	11	16	224.0	972.0	10.0
C32	c	35.0	69.0	23.0	12	11	312.0	662.0	10.0
C33	c	53.0	52.0	11.0	1	10	75.0	583.0	10.0
C34	c	65.0	55.0	14.0	3	11	37.0	424.0	10.0
C35	c	63.0	65.0	8.0	1	7	404.0	948.0	10.0
C36	c	2.0	60.0	5.0	5	0	577.0	948.0	10.0
C37	c	20.0	20.0	8.0	0	8	296.0	882.0	10.0
C38	c	5.0	5.0	16.0	0	16	432.0	888.0	10.0
C39	c	60.0	12.0	31.0	25	6	113.0	611.0	10.0
C40	c	40.0	25.0	9.0	4	5	652.0	910.0	10.0
C41	c	42.0	7.0	5.0	5	0	570.0	961.0	10.0
C42	c	24.0	12.0	5.0	3	2	26.0	227.0	10.0
C43	c	23.0	3.0	7.0	7	0	180.0	760.0	10.0
C44	c	11.0	14.0	18.0	4	14	440.0	852.0	10.0
C45	c	6.0	38.0	16.0	14	2	366.0	960.0	10.0
C46	c	2.0	48.0	1.0	1	0	36.0	450.0	10.0
C47	c	8.0	56.0	27.0	24	3	467.0	915.0	10.0
C48	c	13.0	52.0	36.0	27	9	274.0	702.0	10.0
C49	c	6.0	68.0	30.0	28	2	583.0	946.0	10.0
C50	c	47.0	47.0	13.0	0	13	433.0	673.0	10.0
C51	c	49.0	58.0	10.0	2	8	570.0	963.0	10.0
C52	c	27.0	43.0	9.0	4	5	59.0	565.0	10.0
C53	c	37.0	31.0	14.0	3	11	261.0	643.0	10.0
C54	c	57.0	29.0	18.0	9	9	23.0	379.0	10.0
C55	c	63.0	23.0	2.0	2	0	227.0	783.0	10.0
C56	c	53.0	12.0	6.0	5	1	480.0	960.0	10.0
C57	c	32.0	12.0	7.0	5	2	360.0	698.0	10.0
C58	c	36.0	26.0	18.0	5	13	288.0	626.0	10.0
C59	c	21.0	24.0	28.0	4	24	18.0	376.0	10.0
C60	c	17.0	34.0	3.0	2	1	454.0	856.0	10.0
C61	c	12.0	24.0	13.0	7	6	61.0	819.0	10.0
C62	c	24.0	58.0	19.0	12	7	598.0	964.0	10.0
C63	c	27.0	69.0	10.0	7	3	424.0	955.0	10.0
C64	c	15.0	77.0	9.0	8	1	629.0	911.0	10.0
C65	c	62.0	77.0	20.0	4	16	50.0	330.0	10.0
C66	c	49.0	73.0	25.0	9	16	442.0	912.0	10.0
C67	c	67.0	5.0	25.0	24	1	44.0	433.0	10.0
C68	c	56.0	39.0	36.0	11	25	162.0	622.0	10.0
C69	c	37.0	47.0	6.0	2	4	346.0	714.0	10.0
C70	c	37.0	56.0	5.0	2	3	22.0	286.0	10.0
C71	c	57.0	68.0	15.0	3	12	645.0	861.0	10.0
C72	c	47.0	16.0	25.0	17	8	23.0	483.0	10.0
C73	c	44.0	17.0	9.0	6	3	765.0	969.0	10.0
C74	c	46.0	13.0	8.0	6	2	376.0	628.0	10.0
C75	c	49.0	11.0	18.0	14	4	453.0	719.0	10.0
C76	c	49.0	42.0	13.0	2	11	93.0	479.0	10.0
C77	c	53.0	43.0	14.0	3	11	20.0	441.0	10.0
C78	c	61.0	52.0	3.0	1	2	32.0	620.0	10.0
C79	c	57.0	48.0	23.0	4	19	26.0	389.0	10.0
C80	c	56.0	37.0	6.0	3	3	22.0	541.0	10.0
C81	c	55.0	54.0	26.0	1	25	28.0	338.0	10.0
C82	c	15.0	47.0	16.0	11	5	604.0	896.0	10.0
C83	c	14.0	37.0	11.0	7	4	412.0	810.0	10.0
C84	c	11.0	31.0	7.0	5	2	176.0	586.0	10.0
C85	c	16.0	22.0	41.0	12	29	326.0	966.0	10.0
C86	c	4.0	18.0	35.0	28	7	804.0	954.0	10.0
C87	c	28.0	18.0	26.0	10	16	535.0	563.0	10.0
C88	c	26.0	52.0	9.0	5	4	165.0	617.0	10.0
C89	c	26.0	35.0	15.0	4	11	396.0	856.0	10.0
C90	c	31.0	67.0	3.0	2	1	442.0	726.0	10.0
C91	c	15.0	19.0	1.0	1	0	295.0	785.0	10.0
C92	c	22.0	22.0	2.0	0	2	24.0	598.0	10.0
C93	c	18.0	24.0	22.0	6	16	512.0	696.0	10.0
C94	c	26.0	27.0	27.0	1	26	434.0	742.0	10.0
C95	c	25.0	24.0	20.0	1	19	15.0	540.0	10.0
C96	c	22.0	27.0	11.0	3	8	808.0	974.0	10.0
C97	c	25.0	21.0	12.0	2	10	524.0	678.0	10.0
C98	c	19.0	21.0	10.0	1	9	315.0	651.0	10.0
C99	c	20.0	26.0	9.0	3	6	28.0	266.0	10.0
C100	c	18.0	18.0	17.0	0	17	133.0	133.0	10.0

Q Vehicle fuel tank capacity /181.83
C Vehicle load capacity /1000.0
r fuel consumption rate /1.0
g inverse refueling rate /0.16
v average Velocity /1.0
